G,Y
1960,129.7,6036
1961,131.3,6113
1962,137.1,6271
1963,141.6,6378
1964,148.8,6727
1965,155.9,7027
1966,164.9,7280
1967,171.0,7513
1968,183.4,7728
1969,195.8,7891
1970,207.4,8134
1971,218.3,8322
1972,226.8,8562
1973,237.9,9042
1974,225.8,8867
1975,232.4,8944
1976,241.7,9175
1977,249.2,9381
1978,261.3,9735
1979,248.9,9829
1980,226.8,9722
1981,225.6,9769
1982,228.8,9725
1983,239.6,9930
1984,244.7,10421
1985,245.8,10563
1986,269.4,10780
1987,276.8,10859
1988,279.9,11186
1989,284.1,11300
1990,282.0,11389
1991,271.8,11272
1992,280.2,11466
1993,286.7,11476
1994,290.2,11636
1995,297.8,11934

